Date,Time,Nozzle,Nozzle diameter(mm),Nozzle cross section (mm2),Pressure (PSI),Parachute openned during ascension,Vertical acceleration,Launch quality,duration (s),altitude (ft),top speed (miles/hour),Thrust time,Peak acceleration (G),Average acceleration (G),Coast to Apogee (s)
9/2/2022,16:15,Transparent, 14.6 , 167.42 ,40,yes,yes,medium,5.4,52,76,0.21,21.4,16.8,1.2
9/2/2022,19:29,Transparent, 14.6 , 167.42 ,40,yes,yes,low,4.9,59,25,0.79,7.6,1.4,
9/2/2022,16:41,Transparent, 14.6 , 167.42 ,40,yes,yes,medium,4.7,56,79,0.22,21.1,16.5,1.1
9/2/2022,17:10,Red, 6.0 , 28.27 ,60,yes,yes,medium,5.4,41,64,0.93,11.3,3.2,2.1
9/2/2022,17:29,Orange, 12.0 , 113.10 ,40,no,yes,good,7.4,97,75,0.39,12.7,8.8,1.9
9/2/2022,17:36,Orange, 12.0 , 113.10 ,40,no,yes,good,8.2,110,78,0.36,13.2,9.9,2.2
9/2/2022,17:42,Orange, 12.0 , 113.10 ,40,no,yes,good,5.7,106,79,0.35,12.8,10.4,2.2
9/2/2022,17:50,light green, 14.0 , 153.94 ,40,no,yes,good,6.4,124,83,0.25,19.6,15.4,2.7
9/2/2022,17:58,light green, 14.0 , 153.94 ,40,no,yes,good,6.6,109,79,0.24,18.8,15.4,2.6
9/2/2022,18:05,dark green, 8.0 , 50.27 ,40,no,yes,good,7.1,91,59,0.70,7.8,3.9,2.0
9/2/2022,18:15,dark green, 8.0 , 50.27 ,40,no,yes,good,5.2,78,59,0.65,8.1,4.1,1.7
9/2/2022,18:22,Red, 6.0 , 28.27 ,40,no,no,medium,2.2,32,51,1.27,6.3,1.8,
9/2/2022,18:30,Red, 6.0 , 28.27 ,40,no,no,medium,5.2,44,49,1.6,10.4,2.1,
9/2/2022,18:37,Red, 6.0 , 28.27 ,40,no,no,low,1.4,28,,1.24,10.1,,
9/2/2022,18:45,Transparent, 14.6 , 167.42 ,40,no,yes,good,6.6,131,79,0.21,21.6,17.0,2.6
9/5/2022,11:18,Dark blue, 10.0 , 78.54 ,42,no,yes,good,7.3,118,76,0.48,10.6,7.3,2.2
9/5/2022,11:34,Dark blue, 10.0 , 78.54 ,40,no,yes,good,10.7,116,71,0.47,9.6,6.9,2.4
9/5/2022,11:37,Dark blue, 10.0 , 78.54 ,40,no,yes,good,6.6,115,75,0.5,9.1,6.9,2.3
9/5/2022,11:44,Black, 9.0 , 63.62 ,40,no,yes,medium,4.9,75,68,0.59,7.2,5.3,1.8
9/6/2022,15:35,Black, 9.0 , 63.62 ,40,no,yes,good,5.7,61,56,0.66,6.5,4.5,1.6
9/6/2022,15:44,Black, 9.0 , 63.62 ,40,no,yes,good,5.1,67,74,0.62,10.16,5.5,1.7
9/6/2022,15:52,Gray, 7.0 , 38.48 ,40,no,yes,low,2.7,35,59,1.8,8.1,2.5,-0.1
9/6/2022,15:55,Gray, 7.0 , 38.48 ,40,no,no,low,2.1,23,45,1.3,6.9,1.6,-0.4
9/6/2022,16:05,Gray, 7.0 , 38.48 ,40,no,no,low,2.9,39,60,1.6,9.4,2.6,-0.1
9/6/2022,16:18,White, 11.0 , 95.03 ,40,no,yes,good,7.3,102,71,0.38,10.7,8.5,2.3
9/6/2022,16:24,White, 11.0 , 95.03 ,40,no,yes,low,5.0,66,70,0.39,11.1,8.2,2.1
9/6/2022,16:30,White, 11.0 , 95.03 ,40,no,yes,good,6.2,106,70,0.38,11,8.4,2.5
9/6/2022,16:37,Yellow, 13.0 , 132.73 ,42,no,yes,good,6.2,115,86,0.25,19.1,15.7,2.2
9/6/2022,16:47,Yellow, 13.0 , 132.73 ,40,no,yes,good,6.4,106,81,0.26,17.6,14.4,2.4
